Word	Style_W	Wordstem	Chapter 0	Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5	Chapter 6	Chapter 7	Chapter 8	Chapter 9	Chapter 10	Chapter 11	Chapter 12,
shut	verb	shut	0	3	1	0	1	0	0	0	0	0	1	0	1	0
neck	noun	neck	0	1	0	0	1	4	0	0	1	0	0	0	0	0
pleased	adjective	pleased	0	0	0	0	0	0	4	0	0	2	0	1	0	0
hope	noun	hope	0	2	0	1	3	0	0	1	0	0	0	0	0	0
drink	verb	drink	0	3	0	0	4	0	0	0	0	0	0	0	0	0
flamingo	noun	flamingo	0	0	0	0	0	0	0	0	5	2	0	0	0	0
hair	noun	hair	0	0	2	0	0	1	1	1	0	0	1	0	1	0
sleep	noun	sleep	0	0	0	0	0	1	0	4	0	0	0	0	1	0
school	noun	school	0	0	0	0	0	0	0	0	0	5	1	0	0	0
told	verb	told	0	0	0	0	0	0	1	1	0	0	2	0	2	0
leaves	noun	leaves	0	1	0	0	1	3	0	0	0	0	0	0	1	0
arms	noun	arms	0	0	0	0	1	2	1	0	0	1	0	1	0	0
roof	noun	roof	0	1	1	0	2	0	1	0	0	0	0	0	1	0
writing	noun	writing	0	0	0	0	0	0	0	2	0	0	0	2	2	0
dog	noun	dog	0	0	4	0	0	0	2	0	0	0	0	0	0	0
lizard	noun	lizard	0	0	0	0	1	0	0	0	0	0	0	1	4	0
growl	verb	growl	0	0	0	1	0	0	4	0	0	0	1	0	0	0
sob	verb	sob	0	0	0	0	0	1	1	0	0	0	2	0	2	0
sneezing	noun	sneezing	0	0	0	0	0	0	4	0	0	0	0	1	1	0
fell	verb	fell	0	4	0	0	1	0	0	1	0	0	0	0	0	0
father	noun	father	0	0	0	0	0	5	0	0	0	0	1	0	0	0
trouble	verb	trouble	0	1	1	0	0	1	0	0	0	2	0	0	1	0
marked	adjective	marked	0	4	0	1	0	0	0	0	0	0	1	0	0	0
write	verb	write	0	0	0	0	1	0	0	0	0	0	0	2	3	0
dreadfully	adverb	dreadfulli	0	0	0	0	0	0	1	2	2	0	1	0	0	0
drop	noun	drop	0	1	2	0	1	0	0	1	0	0	0	1	0	0
care	noun	care	0	1	0	0	0	0	1	0	0	2	1	0	1	0
pair	noun	pair	0	0	2	0	4	0	0	0	0	0	0	0	0	0
written	verb	written	0	1	0	0	1	0	0	0	0	1	0	0	3	0
politely	adverb	politeli	0	0	0	1	0	1	1	1	1	1	0	0	0	0
broken	adjective	broken	0	0	0	0	4	0	1	0	0	1	0	0	0	0
stand	verb	stand	0	0	0	0	0	1	0	1	1	0	1	2	0	0
taste	verb	taste	0	1	0	1	0	2	0	0	0	0	2	0	0	0
dish	noun	dish	0	0	0	0	0	0	2	0	0	0	2	1	1	0
smile	verb	smile	0	0	1	1	0	0	0	0	3	0	0	0	1	0
ten	adjective	ten	0	1	0	0	0	1	0	0	3	1	0	0	0	0
pass	verb	pass	0	1	0	0	0	0	0	0	1	0	3	1	0	0
full	adjective	full	0	0	0	0	1	0	2	0	0	1	1	0	1	0
sharp	adjective	sharp	0	0	0	0	2	1	0	0	0	3	0	0	0	0
